fp_id_bright,fp_id_dim,name_bright,name_dim,color_bright,color_dim,qy_bright,qy_dim,delta_qy,seq_identity,d_exp_to_planar_bright,d_exp_to_planar_dim,d_exp_to_planar_delta,d_exp_to_planar_concordant,b_factor_ratio_bright,b_factor_ratio_dim,b_factor_ratio_delta,b_factor_ratio_concordant,n_polar_O2_32_bright,n_polar_O2_32_dim,n_polar_O2_32_delta,n_polar_O2_32_concordant,f_allowed_P_folded_bright,f_allowed_P_folded_dim,f_allowed_P_folded_delta,f_allowed_P_folded_concordant,f_allowed_folded_bright,f_allowed_folded_dim,f_allowed_folded_delta,f_allowed_folded_concordant
alphagfp,acegfp,,aceGFP,green,green,0.79,0.55,0.24,0.8680851063829788,7.851618237132723,14.385525143779343,-6.53390690664662,1,0.6309206470246077,0.7256404440108204,-0.09471979698621269,1,2.0,2.0,0.0,,0.3333333333333333,0.3333333333333333,0.0,,0.0123456790123456,0.015432098765432,-0.0030864197530864005,1.0
avgfp,acegfp,,aceGFP,green,green,0.79,0.55,0.24,0.8808510638297873,11.249983810469484,14.385525143779343,-3.1355413333098596,1,0.7525381403790545,0.7256404440108204,0.026897696368234136,0,2.0,2.0,0.0,,0.3472222222222222,0.3333333333333333,0.013888888888888895,0.0,0.01581790123456785,0.015432098765432,0.0003858024691358493,0.0
acegfp,bruslee,aceGFP,,green,unknown,0.55,0.3,0.25000000000000006,0.8808510638297873,14.385525143779343,16.98092898591453,-2.5954038421351875,1,0.7256404440108204,0.7493083189087257,-0.02366787489790534,1,2.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.0,,0.015432098765432,0.0266203703703703,-0.0111882716049383,1.0
acegfp,cgfp,aceGFP,,green,green,0.55,0.14,0.41000000000000003,0.8808510638297873,14.385525143779343,9.342588715115529,5.042936428663815,0,0.7256404440108204,0.6988063232222229,0.026834120788597482,0,2.0,2.0,0.0,,0.3333333333333333,0.4444444444444444,-0.1111111111111111,1.0,0.015432098765432,0.011574074074074,0.003858024691358,0.0
citrine,acegfp,Citrine,aceGFP,green,green,0.76,0.55,0.20999999999999996,0.8595744680851064,9.364083747271575,14.385525143779343,-5.021441396507768,1,0.7802852038086517,0.7256404440108204,0.054644759797831344,0,3.0,2.0,1.0,1.0,0.2777777777777778,0.3333333333333333,-0.055555555555555525,1.0,0.0150462962962962,0.015432098765432,-0.0003858024691358007,1.0
clover,acegfp,Clover,aceGFP,green,green,0.76,0.55,0.20999999999999996,0.8382978723404255,0.7519607804550592,14.385525143779343,-13.633564363324284,1,0.90010635375153,0.7256404440108204,0.17446590974070963,0,1.0,2.0,-1.0,0.0,0.25,0.3333333333333333,-0.08333333333333331,1.0,0.0088734567901234,0.015432098765432,-0.0065586419753086,1.0
acegfp,degfp1,aceGFP,deGFP1,green,green,0.55,0.16,0.39,0.8553191489361702,14.385525143779343,2.1368284572272898,12.248696686552053,0,0.7256404440108204,0.8080535526050578,-0.08241310859423745,1,2.0,2.0,0.0,,0.3333333333333333,0.45833333333333337,-0.12500000000000006,1.0,0.015432098765432,0.028742283950617252,-0.013310185185185251,1.0
acegfp,dreiklang,aceGFP,Dreiklang,green,unknown,0.55,0.41,0.14000000000000007,0.8734177215189873,14.385525143779343,16.7490962283188,-2.363571084539455,1,0.7256404440108204,0.659482275296899,0.06615816871392144,0,2.0,1.5,0.5,1.0,0.3333333333333333,0.1388888888888889,0.19444444444444442,0.0,0.015432098765432,0.00906635802469135,0.006365740740740651,0.0
acegfp,ecfp,aceGFP,ECFP,green,cyan,0.55,0.4,0.15000000000000002,0.8680851063829788,14.385525143779343,9.530923659697276,4.8546014840820675,0,0.7256404440108204,0.7488417886909549,-0.02320134468013446,1,2.0,2.0,0.0,,0.3333333333333333,0.0833333333333333,0.25,0.0,0.015432098765432,0.0065586419753086,0.0088734567901234,0.0
eyfp,acegfp,,aceGFP,yellow,green,0.67,0.55,0.12,0.8680851063829788,11.854226195681232,14.385525143779343,-2.5312989480981116,1,0.7351667299359395,0.7256404440108204,0.00952628592511906,0,2.0,2.0,0.0,,0.06944444444444445,0.3333333333333333,-0.26388888888888884,1.0,0.0046296296296296,0.015432098765432,-0.010802469135802401,1.0
